Rank,Ticker,Total_Return_%,Annualized_Return_%,Volatility_%,Sharpe_Ratio,Max_Drawdown_%,YTD_Return_%,Current_Price,Data_Points
45,EMGF,127.28,8.63,19.44,0.24,-40.23,28.44,57.29,2494
46,INDH,11.29,7.25,13.88,0.23,-15.05,4.55,44.27,384
47,MJFOX,852.62,8.75,20.62,0.23,-66.9,21.32,24.24,6762
48,GSJY,108.38,7.86,16.76,0.23,-32.53,21.32,45.35,2443
49,EFAS,101.25,8.15,18.69,0.22,-44.39,39.19,18.64,2244
50,SMIN,243.27,9.37,24.09,0.22,-60.5,-4.77,73.28,3465
51,KEMX,71.79,8.54,20.24,0.22,-38.8,30.19,36.23,1661
52,RFEM,111.15,8.25,19.81,0.21,-42.22,23.5,77.4,2372
53,EEMX,96.3,7.78,19.86,0.19,-39.9,31.38,42.23,2265
54,GEM,110.61,7.62,18.88,0.19,-37.02,29.77,41.32,2551
55,FEUZ,137.67,8.14,21.61,0.19,-48.08,48.82,57.97,2783
56,EEM,636.21,9.24,27.12,0.19,-66.43,30.66,54.04,5688
57,FLIN,77.05,7.62,20.62,0.18,-41.9,2.04,39.12,1956
58,AVES,31.27,6.8,16.57,0.17,-27.4,26.45,57.59,1039
59,EMCS,66.27,7.59,21.17,0.17,-44.86,34.03,34.79,1748
60,ESGE,94.89,7.41,19.67,0.17,-41.07,32.93,43.9,2348
61,EWP,990.61,8.39,26.56,0.17,-61.19,63.29,49.99,7468
62,PCEM,8.04,6.76,16.78,0.16,-19.89,7.02,10.81,298
63,DFAE,38.11,6.73,17.22,0.16,-32.21,28.39,31.96,1246
64,FJPNX,1025.47,7.57,22.06,0.16,-56.01,31.44,21.74,8353
65,TWN,3261.34,9.45,34.15,0.16,-73.5,37.68,53.24,9807
66,RAYE,27.92,6.48,16.7,0.15,-26.92,22.59,29.07,985
67,DIEM,82.37,6.56,17.31,0.15,-38.61,26.86,32.85,2380
68,NFTY,151.29,6.95,20.8,0.14,-47.67,3.53,59.15,3453
69,EMXF,41.13,6.99,21.71,0.14,-33.13,25.93,46.2,1282
70,FDEM,52.96,6.53,17.67,0.14,-33.65,22.48,30.35,1691
71,HEEM,98.13,6.33,17.76,0.13,-33.52,28.85,34.37,2805
72,EMXC,66.84,6.35,19.27,0.12,-42.81,28.35,70.51,2092
73,GMF,239.31,6.77,24.9,0.11,-67.18,20.66,138.29,4696
74,EWY,534.04,7.51,32.37,0.11,-74.14,79.17,91.59,6419
75,NUEM,65.91,6.19,20.07,0.11,-39.48,25.2,36.23,2123
76,EMMF,49.82,5.71,16.32,0.11,-32.57,18.35,31.12,1829
77,INDA,135.4,6.4,22.03,0.11,-45.07,2.27,54.61,3469
78,VWO,269.87,6.53,26.32,0.1,-67.68,24.16,54.04,5208
79,FEP,139.07,6.17,21.22,0.1,-46.05,44.15,50.04,3665
80,XSOE,87.5,5.94,20.25,0.1,-45.23,26.53,38.19,2740
81,JHEM,51.94,6.03,20.45,0.1,-34.99,26.85,32.34,1795
82,INDY,154.32,6.01,22.45,0.09,-44.74,3.8,53.56,4023
83,EWI,543.22,6.47,26.97,0.09,-70.38,48.31,51.81,7468
84,EEMA,115.62,5.74,20.1,0.09,-44.18,30.05,92.63,3465
85,EUFN,164.23,6.35,26.37,0.09,-53.26,49.3,33.5,3974
86,VPL,203.32,5.51,20.04,0.08,-55.49,26.77,88.71,5208
87,QLVE,38.42,5.26,15.31,0.08,-29.96,20.55,29.57,1596
88,FLAX,52.63,5.59,19.71,0.08,-42.51,31.17,29.47,1956
89,AAXJ,148.97,5.43,24.67,0.06,-48.9,29.16,92.21,4343
90,IEMG,90.83,5.07,19.36,0.06,-38.71,29.52,66.7,3286
91,EEMS,99.29,4.96,18.48,0.05,-48.89,17.43,67.73,3585
92,EWT,270.73,5.29,28.22,0.05,-64.36,22.07,62.67,6390
93,SPEM,153.57,5.11,24.71,0.05,-64.41,23.78,46.72,4696
94,IVAL,68.59,4.9,18.88,0.05,-46.09,26.42,29.78,2747
95,JPXN,209.16,4.8,20.31,0.04,-54.98,21.56,85.28,6055
96,ROAM,62.86,4.65,18.25,0.04,-45.46,28.43,28.89,2699
97,EMQQ,74.3,5.18,30.22,0.04,-73.24,22.68,42.57,2768
98,EEMV,88.67,4.61,14.4,0.04,-31.56,13.05,64.58,3541
99,LDEM,29.44,4.58,20.87,0.03,-40.82,30.51,58.62,1451
100,TLTE,76.68,4.43,17.74,0.02,-44.21,26.97,63.75,3302
101,EPI,116.3,4.45,27.98,0.02,-66.09,1.27,46.39,4463
102,FLKR,42.8,4.6,25.33,0.02,-50.06,74.98,30.5,1991
103,SCHE,93.83,4.27,20.33,0.01,-36.16,25.47,33.31,3987
104,RNEM,40.51,4.15,17.43,0.01,-38.37,13.96,55.29,2104
105,IDV,104.43,3.96,22.6,-0.0,-70.14,43.07,37.62,4634
106,QEMM,56.52,3.99,16.91,-0.0,-36.89,19.97,67.28,2883
107,DBEM,74.73,3.94,17.64,-0.0,-33.5,27.83,31.5,3634
108,PIN,96.61,3.89,28.23,-0.0,-64.54,0.92,26.38,4457
109,EMDV,46.28,3.95,18.67,-0.0,-39.19,11.28,46.7,2468
110,EWX,100.78,4.07,21.75,0.0,-62.65,14.64,66.05,4402
111,DGRE,55.63,3.66,19.64,-0.02,-37.22,19.8,29.77,3095
112,VPACX,260.79,3.69,19.66,-0.02,-55.32,28.99,17.22,8921
113,PXH,72.38,3.05,26.79,-0.04,-63.63,30.35,25.8,4565
114,EUHY,58.76,3.45,10.61,-0.05,-32.46,17.06,54.55,3428
115,IGHG,52.16,3.56,7.15,-0.06,-25.16,4.3,77.98,3022
116,ECON,52.96,2.84,20.66,-0.06,-45.37,30.67,27.02,3820
117,MEMS,5.29,2.82,17.7,-0.07,-22.24,12.04,26.34,466
118,FDD,30.05,1.45,26.54,-0.1,-74.77,49.03,16.13,4585
119,JEMA,10.58,2.18,18.18,-0.1,-39.5,30.5,48.74,1175
120,BKF,11.01,0.58,28.67,-0.12,-70.29,23.69,44.69,4528
121,FAN,-5.41,-0.32,26.67,-0.16,-79.77,32.85,19.58,4377
122,INQQ,-0.71,-0.2,19.93,-0.21,-40.53,-4.38,15.73,909
123,GLIN,-30.2,-2.33,26.88,-0.24,-79.39,-6.32,46.67,3833
124,KHYB,13.09,1.69,5.78,-0.4,-33.01,8.23,24.42,1853
125,COAL,-11.75,-6.64,26.92,-0.4,-42.29,4.49,21.83,458
126,FMQQ,-42.67,-12.58,25.18,-0.66,-64.51,11.49,14.26,1040
127,EMKT,-3.38,-43.5,14.12,-3.36,-4.06,-3.38,24.55,17
